JOG D-3R-Bala                      [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
JUC D-3R-Barg                      [H]N([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])=[N+]([H])[H]
JJF D-3R-Basn                      [H]N([H])C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
JJG D-3R-Bgln                      [H]N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
JVC D-3R-Bglu                      [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[O-])C([H])([H])[H]
JSD D-3R-Bhis                      [H]C1=NC(C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])=C([H])N1[H]
JOH D-3R-Bleu                      [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
JUD D-3R-Blys                      [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])[H]
JOI D-3R-Bphe                      [H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])c1[H]
JRB D-3R-Btrp                      [H]C1=C(C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2N1[H]
JJH D-3R-Btyr                      [H]Oc1c([H])c([H])c(C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])c1[H]
